,Designator,Package,Quantity,Designation,Arrow Part Number,Digikey part number
,,,,,,
,"J6,J15,J16,J17,J18,J19,J20",stripboard_longer,7,stripboard_longer,,
,"J8,J9,J10,J11,J12,J13,J14,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J52",stripboard,37,stripboard,,
,J3,SUPERSEAL_34POS,1,Conn_01x34,,
,R37,jumper,1,R,,
,"C1,C3,C7,C12,C20,C21,C22,C23,C24,C25,C26,C27,C28",C_0805_HandSoldering,13,100nF,,
,"C2,C4,C5,C6,C8,C9,C10,C11,C13,C14,C15,C16,C17,C18",C_0805_HandSoldering,14,4.7nF,,
,J1,2x08,1,Conn_02x08_Odd_Even,,
,J2,2x15,1,Conn_02x15_Odd_Even,,
,J4,2x10,1,Conn_02x10_Odd_Even,,
,J5,2x17,1,Conn_02x17_Odd_Even,,
,"Q1,Q2,Q5,Q6,Q9,Q10,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24",SOT-23,16,Q_NMOS_GSD,,
,"Q3,Q4,Q7,Q8,Q11,Q12,Q15,Q16",SOT-23,8,Q_PMOS_GSD,,
,"R1,R4",jumper,2,0,,
,"R2,R3,R5,R6,R41,R42",R_0805_HandSoldering,6,60,,
,"R7,R9,R11,R13",R_0805_HandSoldering,4,1.74K,,
,"R8,R10,R12,R14,R19,R20,R23,R24,R27,R28,R31,R32",R_0805_HandSoldering,12,3.3K,,
,"R15,R16",R_0805_HandSoldering,2,270,,
,"R17,R18,R35,R36",R_0805_HandSoldering,4,?,,
,"R21,R22,R25,R26,R29,R30,R33,R34",R_0805_HandSoldering,8,5.1K,,
,"U1,U2",TJA1050,2,TJA1050,,
,"D1,D2",ESDCAN24-2BLY,2,ESDCAN24-2BLY,,
,"U3,U4",SOIC-8,2,LM358,,
,C19,C_0805_HandSoldering,1,330nF,,
,J7,DM1AA,1,DM1AA,,
,R38,R_0805,1,R,,
,"R39,R40",R_0805_HandSoldering,2,1K,,
,T1,HALO_N5,1,HALO_TG110_AEX50N5LF,,
,U5,ltc6820,1,LTC6820,,
,U6,TO-252-2_Rectifier,1,L7805,,
